time,price,number
Feb 21 2014 01 0,172.814,38
Feb 22 2014 01 0,160.455,28
Feb 23 2014 01 0,153.594,33
Feb 24 2014 01 0,181.236,21
Feb 25 2014 01 0,188.158,17
Feb 26 2014 01 0,195.162,16
Feb 27 2014 01 0,203.336,16
Feb 28 2014 01 0,205.967,17
Mar 01 2014 01 0,165.066,37
Mar 02 2014 01 0,133.271,32
Mar 03 2014 01 0,125.843,38
Mar 04 2014 01 0,135.05,23
Mar 05 2014 01 0,139.078,25
Mar 06 2014 01 0,158.326,22
Mar 07 2014 01 0,148.507,32
Mar 08 2014 01 0,140.279,42
Mar 09 2014 01 0,136.894,30
Mar 10 2014 01 0,143.588,30
Mar 11 2014 01 0,143.947,35
Mar 12 2014 01 0,145.601,27
Mar 13 2014 01 0,146.875,32
Mar 14 2014 01 0,163.457,38
Mar 15 2014 01 0,148.192,53
Mar 16 2014 01 0,139.866,43
Mar 17 2014 01 0,131.412,56
Mar 18 2014 01 0,137.273,45
Mar 19 2014 01 0,132.645,33
Mar 20 2014 01 0,132.109,44
Mar 21 2014 01 0,132.763,36
Mar 22 2014 01 0,129.13,72
Mar 23 2014 01 0,121.983,55
Mar 24 2014 01 0,128.858,43
Mar 25 2014 01 0,128.964,49
Mar 26 2014 01 0,133.501,48
Mar 27 2014 01 0,123.052,51
Mar 28 2014 01 0,120.343,63
Mar 29 2014 01 0,124.316,53
Mar 30 2014 01 0,125.818,82
Mar 31 2014 01 0,131.875,64
Apr 01 2014 01 0,143.036,34
Apr 02 2014 01 0,134.773,49
Apr 03 2014 01 0,122.673,54
Apr 04 2014 01 0,126.318,68
Apr 05 2014 01 0,130.954,60
Apr 06 2014 01 0,132.141,55
Apr 07 2014 01 0,122.815,61
Apr 08 2014 01 0,124.17,66
Apr 09 2014 01 0,120.926,81
Apr 10 2014 01 0,123.253,72
Apr 11 2014 01 0,118.681,83
Apr 12 2014 01 0,118.528,87
Apr 13 2014 01 0,116.666,77
Apr 14 2014 01 0,120.239,69
Apr 15 2014 01 0,121.672,86
Apr 16 2014 01 0,119.166,91
Apr 17 2014 01 0,118.476,71
Apr 18 2014 01 0,113.69,89
Apr 19 2014 01 0,116.84,90
Apr 20 2014 01 0,111.028,97
Apr 21 2014 01 0,112.58,91
Apr 22 2014 01 0,116.881,73
Apr 23 2014 01 0,111.867,87
Apr 24 2014 01 0,113.318,98
Apr 25 2014 01 0,115.927,102
Apr 26 2014 01 0,114.88,102
Apr 27 2014 01 0,119.538,99
Apr 28 2014 01 0,117.983,104
Apr 29 2014 01 0,122.172,103
Apr 30 2014 01 0,121.923,92
May 01 2014 01 0,125.733,106
May 02 2014 01 0,107.737,106
May 03 2014 01 0,104.187,134
May 04 2014 01 0,99.315,128
May 05 2014 01 0,91.493,135
May 06 2014 01 0,92.773,132
May 07 2014 01 0,103.558,137
May 08 2014 01 0,106.64,160
May 09 2014 01 0,86.714,102
May 10 2014 01 0,70.625,135
May 11 2014 01 0,60.918,117
May 12 2014 01 0,58.576,112
May 13 2014 01 0,62.227,95
May 14 2014 01 0,62.636,94
May 15 2014 01 0,59.218,104
May 16 2014 01 0,56.052,138
May 17 2014 01 0,56.116,144
May 18 2014 01 0,56.823,148
May 19 2014 01 0,57.619,91
May 20 2014 01 0,58.948,99
May 21 2014 01 0,58.291,121
May 22 2014 01 0,53.727,118
May 23 2014 01 0,52.067,138
May 24 2014 01 0,51.849,107
May 25 2014 01 0,51.513,124
May 26 2014 01 0,50.922,138
May 27 2014 01 0,51.554,128
May 28 2014 01 0,53.91,107
May 29 2014 01 0,49.934,113
May 30 2014 01 0,55.012,117
May 31 2014 01 0,51.586,112
Jun 01 2014 01 0,50.335,125
Jun 02 2014 01 0,46.573,140
Jun 03 2014 01 0,49.972,126
Jun 04 2014 01 0,50.18,111
Jun 05 2014 01 0,45.294,111
Jun 06 2014 01 0,44.929,110
Jun 07 2014 01 0,45.637,106
Jun 08 2014 01 0,42.991,115
Jun 09 2014 01 0,45.263,92
Jun 10 2014 01 0,43.575,136
Jun 11 2014 01 0,43.975,118
Jun 12 2014 01 0,42.585,143
Jun 13 2014 01 0,45.552,114
Jun 14 2014 01 0,47.199,131
Jun 15 2014 01 0,46.15,146
Jun 16 2014 01 0,46.876,159
Jun 17 2014 01 0,41.193,157
Jun 18 2014 01 0,41.807,117
Jun 19 2014 01 0,41.098,126
Jun 20 2014 01 0,33.129,184
Jun 21 2014 01 0,34.628,136
Jun 22 2014 01 0,37.124,133
Jun 23 2014 01 0,32.425,151
Jun 24 2014 01 0,30.171,140
Jun 25 2014 01 0,33.788,140
Jun 26 2014 01 0,36.396,118
Jun 27 2014 01 0,35.07,155
Jun 28 2014 01 0,36.386,187
Jun 29 2014 01 0,36.176,165
Jun 30 2014 01 0,34.899,160
Jul 01 2014 01 0,38.394,139
Jul 02 2014 01 0,29.079,247
Jul 03 2014 01 0,33.564,157
Jul 04 2014 01 0,35.746,142
Jul 05 2014 01 0,38.507,130
Jul 06 2014 01 0,37.803,142
Jul 07 2014 01 0,38.41,172
Jul 08 2014 01 0,38.831,159
Jul 09 2014 01 0,38.438,182
Jul 10 2014 01 0,36.803,164
Jul 11 2014 01 0,36.052,181
Jul 12 2014 01 0,36.715,179
Jul 13 2014 01 0,40.323,162
Jul 14 2014 01 0,38.919,179
Jul 15 2014 01 0,41.84,193
Jul 16 2014 01 0,41.079,183
Jul 17 2014 01 0,38.153,182
Jul 18 2014 01 0,38.744,155
Jul 19 2014 01 0,39.707,173
Jul 20 2014 01 0,36.461,165
Jul 21 2014 01 0,37.445,171
Jul 22 2014 01 0,38.804,137
Jul 23 2014 01 0,38.896,162
Jul 24 2014 01 0,38.144,159
Jul 25 2014 01 0,40.208,189
Jul 26 2014 01 0,40.075,186
Jul 27 2014 01 0,41.819,184
Jul 28 2014 01 0,40.459,179
