time,price,number
Feb 21 2014 01 0,287.255,6
Feb 22 2014 01 0,261.777,14
Feb 23 2014 01 0,223.855,17
Feb 24 2014 01 0,218.705,14
Feb 25 2014 01 0,269.871,16
Feb 26 2014 01 0,278.306,6
Feb 27 2014 01 0,273.093,8
Feb 28 2014 01 0,308.117,12
Mar 01 2014 01 0,237.558,18
Mar 02 2014 01 0,233.911,18
Mar 03 2014 01 0,214.601,22
Mar 04 2014 01 0,255.568,21
Mar 05 2014 01 0,218.307,8
Mar 06 2014 01 0,236.084,11
Mar 07 2014 01 0,245.326,15
Mar 08 2014 01 0,273.831,6
Mar 09 2014 01 0,213.326,16
Mar 10 2014 01 0,206.183,21
Mar 11 2014 01 0,209.097,19
Mar 12 2014 01 0,197.02,15
Mar 13 2014 01 0,202.22,13
Mar 14 2014 01 0,234.67,14
Mar 15 2014 01 0,214.028,17
Mar 16 2014 01 0,223.561,23
Mar 17 2014 01 0,228.063,12
Mar 18 2014 01 0,229.703,11
Mar 19 2014 01 0,204.412,17
Mar 20 2014 01 0,194.948,16
Mar 21 2014 01 0,199.033,21
Mar 22 2014 01 0,209.476,23
Mar 23 2014 01 0,197.134,17
Mar 24 2014 01 0,200.955,20
Mar 25 2014 01 0,213.73,15
Mar 26 2014 01 0,223.723,15
Mar 27 2014 01 0,232.444,11
Mar 28 2014 01 0,212.324,23
Mar 29 2014 01 0,205.518,21
Mar 30 2014 01 0,203.79,22
Mar 31 2014 01 0,205.291,21
Apr 01 2014 01 0,218.053,14
Apr 02 2014 01 0,204.795,19
Apr 03 2014 01 0,187.208,26
Apr 04 2014 01 0,193.547,17
Apr 05 2014 01 0,189.471,16
Apr 06 2014 01 0,183.328,21
Apr 07 2014 01 0,185.421,20
Apr 08 2014 01 0,189.984,25
Apr 09 2014 01 0,179.191,38
Apr 10 2014 01 0,184.825,31
Apr 11 2014 01 0,171.679,30
Apr 12 2014 01 0,185.273,36
Apr 13 2014 01 0,194.63,33
Apr 14 2014 01 0,188.461,38
Apr 15 2014 01 0,191.539,16
Apr 16 2014 01 0,175.617,29
Apr 17 2014 01 0,170.898,34
Apr 18 2014 01 0,187.804,27
