ord,id,name
0,Community%20Sticker%20Capsule%201,1 号社区印花胶囊
1,Community%20Sticker%20Capsule%201%20Key,1 号社区印花胶囊钥匙
2,Sticker%20Capsule%202,2 号印花胶囊
3,DreamHack%202013%20Souvenir%20Package,2013年 DreamHack 纪念包
4,DreamHack%202014%20Legends%20%28Holo-Foil%29,2014年 DreamHack 锦标赛传奇（全息/闪亮）
5,DreamHack%202014%20Cobblestone%20Souvenir%20Package,2014年 DreamHack 锦标赛古堡激战纪念包
6,DreamHack%202014%20Nuke%20Souvenir%20Package,2014年 DreamHack 锦标赛核子危机纪念包
7,DreamHack%202014%20Overpass%20Souvenir%20Package,2014年 DreamHack 锦标赛死亡游乐园纪念包
8,DreamHack%202014%20Cache%20Souvenir%20Package,2014年 DreamHack 锦标赛死城之迷纪念包
9,DreamHack%202014%20Dust%20II%20Souvenir%20Package,2014年 DreamHack 锦标赛炙热沙城 II 纪念包
10,DreamHack%202014%20Inferno%20Souvenir%20Package,2014年 DreamHack 锦标赛炼狱小镇纪念包
11,DreamHack%202014%20Mirage%20Souvenir%20Package,2014年 DreamHack 锦标赛荒漠迷城纪念包
12,EMS%20One%202014%20Souvenir%20Package,2014年 EMS One 纪念包
13,EMS%20Katowice%202014%20Legends,2014年 EMS 卡托维兹锦标赛传奇
14,EMS%20Katowice%202014%20Challengers,2014年 EMS 卡托维兹锦标赛挑战者
15,ESL%20One%20Cologne%202014%20Legends,2014年 ESL One 科隆锦标赛传奇
16,ESL%20One%20Cologne%202014%20Cobblestone%20Souvenir%20Package,2014年 ESL One 科隆锦标赛古堡激战纪念包
17,ESL%20One%20Cologne%202014%20Challengers,2014年 ESL One 科隆锦标赛挑战者
18,ESL%20One%20Cologne%202014%20Nuke%20Souvenir%20Package,2014年 ESL One 科隆锦标赛核子危机纪念包
19,ESL%20One%20Cologne%202014%20Overpass%20Souvenir%20Package,2014年 ESL One 科隆锦标赛死亡游乐园纪念包
20,ESL%20One%20Cologne%202014%20Cache%20Souvenir%20Package,2014年 ESL One 科隆锦标赛死城之谜纪念包
21,ESL%20One%20Cologne%202014%20Dust%20II%20Souvenir%20Package,2014年 ESL One 科隆锦标赛炙热沙城 II 纪念包
22,ESL%20One%20Cologne%202014%20Inferno%20Souvenir%20Package,2014年 ESL One 科隆锦标赛炼狱小镇纪念包
23,ESL%20One%20Cologne%202014%20Mirage%20Souvenir%20Package,2014年 ESL One 科隆锦标赛荒漠迷城纪念包
24,DreamHack%20Cluj-Napoca%202015%20Legends%20%28Foil%29,2015年 DreamHack 克卢日-纳波卡锦标赛传奇（闪亮）
25,DreamHack%20Cluj-Napoca%202015%20Challengers%20%28Foil%29,2015年 DreamHack 克卢日-纳波卡锦标赛挑战者（闪亮）
26,ESL%20One%20Katowice%202015%20Legends%20%28Holo-Foil%29,2015年 ESL One 卡托维兹锦标赛传奇（全息/闪亮）
27,ESL%20One%20Katowice%202015%20Cobblestone%20Souvenir%20Package,2015年 ESL One 卡托维兹锦标赛古堡激战纪念包
28,ESL%20One%20Katowice%202015%20Challengers%20%28Holo-Foil%29,2015年 ESL One 卡托维兹锦标赛挑战者（全息/闪亮）
29,ESL%20One%20Katowice%202015%20Nuke%20Souvenir%20Package,2015年 ESL One 卡托维兹锦标赛核子危机纪念包
30,ESL%20One%20Katowice%202015%20Overpass%20Souvenir%20Package,2015年 ESL One 卡托维兹锦标赛死亡游乐园纪念包
31,ESL%20One%20Katowice%202015%20Cache%20Souvenir%20Package,2015年 ESL One 卡托维兹锦标赛死城之谜纪念包
32,ESL%20One%20Katowice%202015%20Dust%20II%20Souvenir%20Package,2015年 ESL One 卡托维兹锦标赛炙热沙城 II 纪念包
33,ESL%20One%20Katowice%202015%20Inferno%20Souvenir%20Package,2015年 ESL One 卡托维兹锦标赛炼狱小镇纪念包
34,ESL%20One%20Katowice%202015%20Mirage%20Souvenir%20Package,2015年 ESL One 卡托维兹锦标赛荒漠迷城纪念包
35,ESL%20One%20Cologne%202015%20Legends%20%28Foil%29,2015年 ESL One 科隆锦标赛传奇（闪亮）
36,ESL%20One%20Cologne%202015%20Train%20Souvenir%20Package,2015年 ESL One 科隆锦标赛列车停放站纪念包
37,ESL%20One%20Cologne%202015%20Cobblestone%20Souvenir%20Package,2015年 ESL One 科隆锦标赛古堡激战纪念包
38,ESL%20One%20Cologne%202015%20Challengers%20%28Foil%29,2015年 ESL One 科隆锦标赛挑战者（闪亮）
39,ESL%20One%20Cologne%202015%20Overpass%20Souvenir%20Package,2015年 ESL One 科隆锦标赛死亡游乐园纪念包
40,ESL%20One%20Cologne%202015%20Cache%20Souvenir%20Package,2015年 ESL One 科隆锦标赛死城之谜纪念包
41,ESL%20One%20Cologne%202015%20Dust%20II%20Souvenir%20Package,2015年 ESL One 科隆锦标赛炙热沙城 II 纪念包
42,ESL%20One%20Cologne%202015%20Inferno%20Souvenir%20Package,2015年 ESL One 科隆锦标赛炼狱小镇纪念包
43,ESL%20One%20Cologne%202015%20Mirage%20Souvenir%20Package,2015年 ESL One 科隆锦标赛荒漠迷城纪念包
44,DreamHack%20Cluj-Napoca%202015%20Train%20Souvenir%20Package,2015年卢日-纳波卡锦标赛列车停放站纪念包
45,DreamHack%20Cluj-Napoca%202015%20Cobblestone%20Souvenir%20Package,2015年卢日-纳波卡锦标赛古堡激战纪念包
46,DreamHack%20Cluj-Napoca%202015%20Overpass%20Souvenir%20Package,2015年卢日-纳波卡锦标赛死亡游乐园纪念包
47,DreamHack%20Cluj-Napoca%202015%20Cache%20Souvenir%20Package,2015年卢日-纳波卡锦标赛死城之谜纪念包
48,DreamHack%20Cluj-Napoca%202015%20Dust%20II%20Souvenir%20Package,2015年卢日-纳波卡锦标赛炙热沙城 II 纪念包
49,DreamHack%20Cluj-Napoca%202015%20Inferno%20Souvenir%20Package,2015年卢日-纳波卡锦标赛炼狱小镇纪念包
50,DreamHack%20Cluj-Napoca%202015%20Mirage%20Souvenir%20Package,2015年卢日-纳波卡锦标赛荒漠迷城纪念包
51,MLG%20Columbus%202016%20Legends%20%28Holo-Foil%29,2016年 MLG 哥伦布锦标赛传奇（全息/闪亮）
52,MLG%20Columbus%202016%20Train%20Souvenir%20Package,2016年 MLG 哥伦布锦标赛列车停放站纪念包
53,MLG%20Columbus%202016%20Cobblestone%20Souvenir%20Package,2016年 MLG 哥伦布锦标赛古堡激战纪念包
54,MLG%20Columbus%202016%20Challengers%20%28Holo-Foil%29,2016年 MLG 哥伦布锦标赛挑战者（全息/闪亮）
55,MLG%20Columbus%202016%20Nuke%20Souvenir%20Package,2016年 MLG 哥伦布锦标赛核子危机纪念包
56,MLG%20Columbus%202016%20Overpass%20Souvenir%20Package,2016年 MLG 哥伦布锦标赛死亡游乐园纪念包
57,MLG%20Columbus%202016%20Cache%20Souvenir%20Package,2016年 MLG 哥伦布锦标赛死城之谜纪念包
58,MLG%20Columbus%202016%20Dust%20II%20Souvenir%20Package,2016年 MLG 哥伦布锦标赛炙热沙城 II 纪念包
59,MLG%20Columbus%202016%20Inferno%20Souvenir%20Package,2016年 MLG 哥伦布锦标赛炼狱小镇纪念包
60,MLG%20Columbus%202016%20Mirage%20Souvenir%20Package,2016年 MLG 哥伦布锦标赛荒漠迷城纪念包
61,Cologne%202016%20Legends%20%28Holo-Foil%29,2016年科隆锦标赛传奇（全息/闪亮）
62,Cologne%202016%20Train%20Souvenir%20Package,2016年科隆锦标赛列车停放站纪念包
63,Cologne%202016%20Cobblestone%20Souvenir%20Package,2016年科隆锦标赛古堡激战纪念包
64,Cologne%202016%20Challengers%20%28Holo-Foil%29,2016年科隆锦标赛挑战者（全息/闪亮）
65,Cologne%202016%20Nuke%20Souvenir%20Package,2016年科隆锦标赛核子危机纪念包
66,Cologne%202016%20Overpass%20Souvenir%20Package,2016年科隆锦标赛死亡游乐园纪念包
67,Cologne%202016%20Cache%20Souvenir%20Package,2016年科隆锦标赛死城之谜纪念包
68,Cologne%202016%20Dust%20II%20Souvenir%20Package,2016年科隆锦标赛炙热沙城 II 纪念包
69,Cologne%202016%20Mirage%20Souvenir%20Package,2016年科隆锦标赛荒漠迷城纪念包
70,Atlanta%202017%20Legends%20%28Holo-Foil%29,2017年亚特兰大锦标赛传奇（全息/闪亮）
71,Atlanta%202017%20Train%20Souvenir%20Package,2017年亚特兰大锦标赛列车停放站纪念包
72,Atlanta%202017%20Cobblestone%20Souvenir%20Package,2017年亚特兰大锦标赛古堡激战纪念包
73,Atlanta%202017%20Challengers%20%28Holo-Foil%29,2017年亚特兰大锦标赛挑战者（全息/闪亮）
74,Atlanta%202017%20Nuke%20Souvenir%20Package,2017年亚特兰大锦标赛核子危机纪念包
75,Atlanta%202017%20Overpass%20Souvenir%20Package,2017年亚特兰大锦标赛死亡游乐园纪念包
76,Atlanta%202017%20Cache%20Souvenir%20Package,2017年亚特兰大锦标赛死城之谜纪念包
77,Atlanta%202017%20Dust%20II%20Souvenir%20Package,2017年亚特兰大锦标赛炙热沙城 II 纪念包
78,Atlanta%202017%20Mirage%20Souvenir%20Package,2017年亚特兰大锦标赛荒漠迷城纪念包
79,Krakow%202017%20Legends%20Autograph%20Capsule,2017年克拉科夫锦标赛传奇亲笔签名胶囊
80,Krakow%202017%20Legends%20%28Holo-Foil%29,2017年克拉科夫锦标赛传奇（全息/闪亮）
81,Krakow%202017%20Train%20Souvenir%20Package,2017年克拉科夫锦标赛列车停放站纪念包
82,Krakow%202017%20Cobblestone%20Souvenir%20Package,2017年克拉科夫锦标赛古堡激战纪念包
83,Krakow%202017%20Challengers%20Autograph%20Capsule,2017年克拉科夫锦标赛挑战者亲笔签名胶囊
84,Krakow%202017%20Challengers%20%28Holo-Foil%29,2017年克拉科夫锦标赛挑战者（全息/闪亮）
85,Krakow%202017%20Nuke%20Souvenir%20Package,2017年克拉科夫锦标赛核子危机纪念包
86,Krakow%202017%20Overpass%20Souvenir%20Package,2017年克拉科夫锦标赛死亡游乐园纪念包
87,Krakow%202017%20Cache%20Souvenir%20Package,2017年克拉科夫锦标赛死城之迷纪念包
88,Krakow%202017%20Inferno%20Souvenir%20Package,2017年克拉科夫锦标赛炼狱小镇纪念包
89,Krakow%202017%20Mirage%20Souvenir%20Package,2017年克拉科夫锦标赛荒漠迷城纪念包
90,London%202018%20Minor%20Challengers%20%28Holo-Foil%29,2018年伦敦特锦赛次级挑战者（全息/闪亮）
91,London%202018%20Legends%20Autograph%20Capsule,2018年伦敦锦标赛传奇亲笔签名胶囊
92,London%202018%20Legends%20%28Holo-Foil%29,2018年伦敦锦标赛传奇（全息/闪亮）
93,London%202018%20Train%20Souvenir%20Package,2018年伦敦锦标赛列车停放站纪念包
94,London%202018%20Returning%20Challengers%20Autograph%20Capsule,2018年伦敦锦标赛回归挑战者亲笔签名胶囊
95,London%202018%20Returning%20Challengers%20%28Holo-Foil%29,2018年伦敦锦标赛回归挑战者（全息/闪亮）
96,London%202018%20Nuke%20Souvenir%20Package,2018年伦敦锦标赛核子危机纪念包
97,London%202018%20Minor%20Challengers%20Autograph%20Capsule,2018年伦敦锦标赛次级挑战者亲笔签名胶囊
98,London%202018%20Overpass%20Souvenir%20Package,2018年伦敦锦标赛死亡游乐园纪念包
99,London%202018%20Cache%20Souvenir%20Package,2018年伦敦锦标赛死城之谜纪念包
100,London%202018%20Dust%20II%20Souvenir%20Package,2018年伦敦锦标赛炙热沙城 II 纪念包
101,London%202018%20Inferno%20Souvenir%20Package,2018年伦敦锦标赛炼狱小镇纪念包
102,London%202018%20Mirage%20Souvenir%20Package,2018年伦敦锦标赛荒漠迷城纪念包
103,Boston%202018%20Legends%20Autograph%20Capsule,2018年波士顿锦标赛传奇亲笔签名胶囊
104,Boston%202018%20Legends%20%28Holo-Foil%29,2018年波士顿锦标赛传奇（全息/闪亮）
105,Boston%202018%20Train%20Souvenir%20Package,2018年波士顿锦标赛列车停放站纪念包
106,Boston%202018%20Attending%20Legends%20Autograph%20Capsule,2018年波士顿锦标赛参赛传奇亲笔签名胶囊
107,Boston%202018%20Attending%20Legends%20%28Holo-Foil%29,2018年波士顿锦标赛参赛传奇（全息/闪亮）
108,Boston%202018%20Cobblestone%20Souvenir%20Package,2018年波士顿锦标赛古堡激战纪念包
109,Boston%202018%20Returning%20Challengers%20Autograph%20Capsule,2018年波士顿锦标赛回归挑战者亲笔签名胶囊
110,Boston%202018%20Returning%20Challengers%20%28Holo-Foil%29,2018年波士顿锦标赛回归挑战者（全息/闪亮）
111,Boston%202018%20Nuke%20Souvenir%20Package,2018年波士顿锦标赛核子危机纪念包
112,Boston%202018%20Minor%20Challengers%20Autograph%20Capsule,2018年波士顿锦标赛次级挑战者亲笔签名胶囊
113,Boston%202018%20Minor%20Challengers%20with%20Flash%20Gaming%20Autograph%20Capsule,2018年波士顿锦标赛次级挑战者亲笔签名胶囊（含 Flash Gaming）
114,Boston%202018%20Minor%20Challengers%20%28Holo-Foil%29,2018年波士顿锦标赛次级挑战者（全息/闪亮）
115,Boston%202018%20Minor%20Challengers%20with%20Flash%20Gaming%20%28Holo-Foil%29,2018年波士顿锦标赛次级挑战者（含 Flash Gaming）（闪亮/全息）
116,Boston%202018%20Overpass%20Souvenir%20Package,2018年波士顿锦标赛死亡游乐园纪念包
117,Boston%202018%20Cache%20Souvenir%20Package,2018年波士顿锦标赛死城之谜纪念包
118,Boston%202018%20Inferno%20Souvenir%20Package,2018年波士顿锦标赛炼狱小镇纪念包
119,Boston%202018%20Mirage%20Souvenir%20Package,2018年波士顿锦标赛荒漠迷城纪念包
120,Community%20Capsule%202018,2018年社区印花胶囊
121,Katowice%202019%20Legends%20Autograph%20Capsule,2019年卡托维兹锦标赛传奇亲笔签名胶囊
122,Katowice%202019%20Legends%20%28Holo-Foil%29,2019年卡托维兹锦标赛传奇（全息/闪亮）
123,Katowice%202019%20Returning%20Challengers%20Autograph%20Capsule,2019年卡托维兹锦标赛回归挑战者亲笔签名胶囊
124,Katowice%202019%20Returning%20Challengers%20%28Holo-Foil%29,2019年卡托维兹锦标赛回归挑战者（全息/闪亮）
125,Katowice%202019%20Minor%20Challengers%20Autograph%20Capsule,2019年卡托维兹锦标赛次级挑战者亲笔签名胶囊
126,Katowice%202019%20Minor%20Challengers%20%28Holo-Foil%29,2019年卡托维兹锦标赛次级挑战者（全息/闪亮）
127,Berlin%202019%20Returning%20Challengers%20Autograph%20Capsule,2019年柏林锦标赛传奇组亲笔签名胶囊
128,Berlin%202019%20Returning%20Challengers%20%28Holo-Foil%29,2019年柏林锦标赛传奇组胶囊（全息/闪亮）
129,Berlin%202019%20Legends%20Autograph%20Capsule,2019年柏林锦标赛冠军组亲笔签名胶囊
130,Berlin%202019%20Legends%20%28Holo-Foil%29,2019年柏林锦标赛冠军组胶囊（全息/闪亮）
131,Berlin%202019%20Train%20Souvenir%20Package,柏林 2019 列车停放站纪念包
132,Berlin%202019%20Minor%20Challengers%20Autograph%20Capsule,2019年柏林锦标赛挑战组亲笔签名胶囊
133,Berlin%202019%20Minor%20Challengers%20%28Holo-Foil%29,2019年柏林锦标赛挑战组胶囊（全息/闪亮）
134,Berlin%202019%20Nuke%20Souvenir%20Package,柏林 2019 核子危机纪念包
135,Berlin%202019%20Overpass%20Souvenir%20Package,柏林 2019 死亡游乐园纪念包
136,Berlin%202019%20Vertigo%20Souvenir%20Package,柏林 2019 殒命大厦纪念包
137,Berlin%202019%20Dust%20II%20Souvenir%20Package,2019年柏林锦标赛炙热沙城 Ⅱ 纪念包
138,Berlin%202019%20Inferno%20Souvenir%20Package,2019年柏林锦标赛炼狱小镇纪念包
139,Berlin%202019%20Mirage%20Souvenir%20Package,柏林 2019 荒漠迷城纪念包
140,AK-47%20%7C%20Jungle%20Spray%20%28Field-Tested%29,AK-47 | 丛林涂装 (久经沙场)
141,AK-47%20%7C%20Jungle%20Spray%20%28Factory%20New%29,AK-47 | 丛林涂装 (崭新出厂)
142,AK-47%20%7C%20Jungle%20Spray%20%28Battle-Scarred%29,AK-47 | 丛林涂装 (战痕累累)
143,AK-47%20%7C%20Jungle%20Spray%20%28Minimal%20Wear%29,AK-47 | 丛林涂装 (略有磨损)
144,AK-47%20%7C%20Jungle%20Spray%20%28Well-Worn%29,AK-47 | 丛林涂装 (破损不堪)
145,AK-47%20%7C%20Asiimov%20%28Field-Tested%29,AK-47 | 二西莫夫 (久经沙场)
146,AK-47%20%7C%20Asiimov%20%28Factory%20New%29,AK-47 | 二西莫夫 (崭新出厂)
147,AK-47%20%7C%20Asiimov%20%28Battle-Scarred%29,AK-47 | 二西莫夫 (战痕累累)
148,AK-47%20%7C%20Asiimov%20%28Minimal%20Wear%29,AK-47 | 二西莫夫 (略有磨损)
149,AK-47%20%7C%20Asiimov%20%28Well-Worn%29,AK-47 | 二西莫夫 (破损不堪)
150,AK-47%20%7C%20Frontside%20Misty%20%28Field-Tested%29,AK-47 | 前线迷雾 (久经沙场)
151,AK-47%20%7C%20Frontside%20Misty%20%28Factory%20New%29,AK-47 | 前线迷雾 (崭新出厂)
152,AK-47%20%7C%20Frontside%20Misty%20%28Battle-Scarred%29,AK-47 | 前线迷雾 (战痕累累)
153,AK-47%20%7C%20Frontside%20Misty%20%28Minimal%20Wear%29,AK-47 | 前线迷雾 (略有磨损)
154,AK-47%20%7C%20Frontside%20Misty%20%28Well-Worn%29,AK-47 | 前线迷雾 (破损不堪)
155,AK-47%20%7C%20Cartel%20%28Field-Tested%29,AK-47 | 卡特尔 (久经沙场)
156,AK-47%20%7C%20Cartel%20%28Factory%20New%29,AK-47 | 卡特尔 (崭新出厂)
157,AK-47%20%7C%20Cartel%20%28Battle-Scarred%29,AK-47 | 卡特尔 (战痕累累)
158,AK-47%20%7C%20Cartel%20%28Minimal%20Wear%29,AK-47 | 卡特尔 (略有磨损)
159,AK-47%20%7C%20Cartel%20%28Well-Worn%29,AK-47 | 卡特尔 (破损不堪)
160,AK-47%20%7C%20Rat%20Rod%20%28Field-Tested%29,AK-47 | 复古浪潮 (久经沙场)
161,AK-47%20%7C%20Rat%20Rod%20%28Factory%20New%29,AK-47 | 复古浪潮 (崭新出厂)
162,AK-47%20%7C%20Rat%20Rod%20%28Battle-Scarred%29,AK-47 | 复古浪潮 (战痕累累)
163,AK-47%20%7C%20Rat%20Rod%20%28Minimal%20Wear%29,AK-47 | 复古浪潮 (略有磨损)
164,AK-47%20%7C%20Rat%20Rod%20%28Well-Worn%29,AK-47 | 复古浪潮 (破损不堪)
165,AK-47%20%7C%20Safety%20Net%20%28Field-Tested%29,AK-47 | 安全网 (久经沙场)
166,AK-47%20%7C%20Safety%20Net%20%28Factory%20New%29,AK-47 | 安全网 (崭新出厂)
167,AK-47%20%7C%20Safety%20Net%20%28Battle-Scarred%29,AK-47 | 安全网 (战痕累累)
168,AK-47%20%7C%20Safety%20Net%20%28Minimal%20Wear%29,AK-47 | 安全网 (略有磨损)
169,AK-47%20%7C%20Safety%20Net%20%28Well-Worn%29,AK-47 | 安全网 (破损不堪)
170,AK-47%20%7C%20Baroque%20Purple%20%28Field-Tested%29,AK-47 | 巴洛克之紫 (久经沙场)
171,AK-47%20%7C%20Baroque%20Purple%20%28Factory%20New%29,AK-47 | 巴洛克之紫 (崭新出厂)
172,AK-47%20%7C%20Baroque%20Purple%20%28Battle-Scarred%29,AK-47 | 巴洛克之紫 (战痕累累)
173,AK-47%20%7C%20Baroque%20Purple%20%28Minimal%20Wear%29,AK-47 | 巴洛克之紫 (略有磨损)
