ord,name
14310.0,★ Sport Gloves | Amphibious (Field-Tested) has no history.
14311.0,★ Sport Gloves | Amphibious (Battle-Scarred) has no history.
14312.0,★ Sport Gloves | Amphibious (Minimal Wear) has no history.
14313.0,★ Sport Gloves | Amphibious (Well-Worn) has no history.
14314.0,★ Sport Gloves | Arid (Field-Tested) has no history.
14315.0,★ Sport Gloves | Arid (Battle-Scarred) has no history.
14316.0,★ Sport Gloves | Arid (Minimal Wear) has no history.
14317.0,★ Sport Gloves | Arid (Well-Worn) has no history.
14341.0,★ StatTrak™ Talon Knife has no history.
14342.0,★ StatTrak™ Talon Knife | Stained (Field-Tested) has no history.
14343.0,★ StatTrak™ Talon Knife | Stained (Factory New) has no history.
14344.0,★ StatTrak™ Talon Knife | Stained (Battle-Scarred) has no history.
14345.0,★ StatTrak™ Talon Knife | Stained (Minimal Wear) has no history.
14346.0,★ StatTrak™ Talon Knife | Stained (Well-Worn) has no history.
14347.0,★ StatTrak™ Talon Knife | Boreal Forest (Field-Tested) has no history.
14348.0,★ StatTrak™ Talon Knife | Boreal Forest (Minimal Wear) has no history.
14349.0,★ StatTrak™ Talon Knife | Rust Coat (Battle-Scarred) has no history.
14350.0,★ StatTrak™ Talon Knife | Doppler (Factory New) has no history.
14351.0,★ StatTrak™ Talon Knife | Doppler (Minimal Wear) has no history.
14352.0,★ StatTrak™ Talon Knife | Night Stripe (Field-Tested) has no history.
14353.0,★ StatTrak™ Talon Knife | Night Stripe (Battle-Scarred) has no history.
14354.0,★ StatTrak™ Talon Knife | Night Stripe (Minimal Wear) has no history.
14355.0,★ StatTrak™ Talon Knife | Damascus Steel (Field-Tested) has no history.
14356.0,★ StatTrak™ Talon Knife | Damascus Steel (Factory New) has no history.
14357.0,★ StatTrak™ Talon Knife | Damascus Steel (Minimal Wear) has no history.
14358.0,★ StatTrak™ Talon Knife | Slaughter (Field-Tested) has no history.
14359.0,★ StatTrak™ Talon Knife | Slaughter (Factory New) has no history.
14360.0,★ StatTrak™ Talon Knife | Slaughter (Minimal Wear) has no history.
14361.0,★ StatTrak™ Talon Knife | Scorched (Field-Tested) has no history.
14362.0,★ StatTrak™ Talon Knife | Scorched (Minimal Wear) has no history.
14363.0,★ StatTrak™ Talon Knife | Scorched (Well-Worn) has no history.
14364.0,★ StatTrak™ Talon Knife | Forest DDPAT (Field-Tested) has no history.
14365.0,★ StatTrak™ Talon Knife | Forest DDPAT (Minimal Wear) has no history.
14366.0,★ StatTrak™ Talon Knife | Forest DDPAT (Well-Worn) has no history.
14367.0,★ StatTrak™ Talon Knife | Crimson Web (Field-Tested) has no history.
14368.0,★ StatTrak™ Talon Knife | Crimson Web (Well-Worn) has no history.
14369.0,★ StatTrak™ Talon Knife | Fade (Factory New) has no history.
14370.0,★ StatTrak™ Talon Knife | Fade (Minimal Wear) has no history.
14371.0,★ StatTrak™ Talon Knife | Marble Fade (Factory New) has no history.
14372.0,★ StatTrak™ Talon Knife | Safari Mesh (Field-Tested) has no history.
14373.0,★ StatTrak™ Talon Knife | Safari Mesh (Battle-Scarred) has no history.
14374.0,★ StatTrak™ Talon Knife | Safari Mesh (Minimal Wear) has no history.
14375.0,★ StatTrak™ Talon Knife | Ultraviolet (Field-Tested) has no history.
14376.0,★ StatTrak™ Talon Knife | Ultraviolet (Well-Worn) has no history.
14377.0,★ StatTrak™ Talon Knife | Blue Steel (Well-Worn) has no history.
14378.0,★ StatTrak™ Talon Knife | Tiger Tooth (Factory New) has no history.
14379.0,★ StatTrak™ Talon Knife | Case Hardened (Battle-Scarred) has no history.
14380.0,★ StatTrak™ Talon Knife | Case Hardened (Minimal Wear) has no history.
14381.0,★ StatTrak™ Talon Knife | Case Hardened (Well-Worn) has no history.
14382.0,★ StatTrak™ Talon Knife | Urban Masked (Battle-Scarred) has no history.
14383.0,★ StatTrak™ Talon Knife | Urban Masked (Well-Worn) has no history.
14384.0,★ Talon Knife has no history.
14385.0,★ Talon Knife | Stained (Field-Tested) has no history.
14386.0,★ Talon Knife | Stained (Factory New) has no history.
14387.0,★ Talon Knife | Stained (Battle-Scarred) has no history.
14388.0,★ Talon Knife | Stained (Minimal Wear) has no history.
14389.0,★ Talon Knife | Stained (Well-Worn) has no history.
14390.0,★ Talon Knife | Boreal Forest (Field-Tested) has no history.
14391.0,★ Talon Knife | Boreal Forest (Factory New) has no history.
14392.0,★ Talon Knife | Boreal Forest (Battle-Scarred) has no history.
14393.0,★ Talon Knife | Boreal Forest (Minimal Wear) has no history.
14394.0,★ Talon Knife | Boreal Forest (Well-Worn) has no history.
14395.0,★ Talon Knife | Rust Coat (Battle-Scarred) has no history.
14396.0,★ Talon Knife | Doppler (Factory New) has no history.
14397.0,★ Talon Knife | Doppler (Minimal Wear) has no history.
