ord,id
11942,★ StatTrak™ Navaja Knife | Blue Steel (Factory New) has no history.
12814,★ StatTrak™ Survival Knife | Crimson Web (Minimal Wear) has no history.
12816,★ StatTrak™ Survival Knife | Fade (Minimal Wear) has no history.
12818,★ StatTrak™ Survival Knife | Safari Mesh (Minimal Wear) has no history.
12820,★ StatTrak™ Survival Knife | Blue Steel (Factory New) has no history.
12821,★ StatTrak™ Survival Knife | Blue Steel (Battle-Scarred) has no history.

12828,★ StatTrak™ Survival Knife | Urban Masked (Minimal Wear) has no history.
12829,★ StatTrak™ Survival Knife | Urban Masked (Well-Worn) has no history.
12855,★ Survival Knife | Safari Mesh (Factory New) has no history.
13282,★ StatTrak™ Nomad Knife | Boreal Forest (Battle-Scarred) has no history.
13290,★ StatTrak™ Nomad Knife | Crimson Web (Minimal Wear) has no history.
13291,★ StatTrak™ Nomad Knife | Crimson Web (Well-Worn) has no history.

13326,★ Nomad Knife | Safari Mesh (Factory New) has no history.
13330,★ Nomad Knife | Blue Steel (Factory New) has no history.
13355,★ StatTrak™ Classic Knife | Scorched (Factory New) has no history.
13361,★ StatTrak™ Classic Knife | Crimson Web (Minimal Wear) has no history.

13451,★ StatTrak™ Ursus Knife | Crimson Web (Battle-Scarred) has no history.
13452,★ StatTrak™ Ursus Knife | Crimson Web (Well-Worn) has no history.

13669,★ Karambit | Urban Masked (Battle-Scarred) has no history.

14090,★ StatTrak™ Paracord Knife | Stained (Battle-Scarred) has no history.
14098,★ StatTrak™ Paracord Knife | Blue Steel (Battle-Scarred) has no history.

14555,★ StatTrak™ Skeleton Knife | Boreal Forest (Well-Worn) has no history.
14559,★ StatTrak™ Skeleton Knife | Case Hardened (Battle-Scarred) has no history.
14567,★ Skeleton Knife | Night Stripe (Factory New) has no history.


