,id,name
0,Community%20Sticker%20Capsule%201,1 号社区印花胶囊
1,Community%20Sticker%20Capsule%201%20Key,1 号社区印花胶囊钥匙
2,Sticker%20Capsule%202,2 号印花胶囊
3,DreamHack%202013%20Souvenir%20Package,2013年 DreamHack 纪念包
4,DreamHack%202014%20Legends%20%28Holo-Foil%29,2014年 DreamHack 锦标赛传奇（全息/闪亮）
5,DreamHack%202014%20Cobblestone%20Souvenir%20Package,2014年 DreamHack 锦标赛古堡激战纪念包
6,DreamHack%202014%20Nuke%20Souvenir%20Package,2014年 DreamHack 锦标赛核子危机纪念包
7,DreamHack%202014%20Overpass%20Souvenir%20Package,2014年 DreamHack 锦标赛死亡游乐园纪念包
8,DreamHack%202014%20Cache%20Souvenir%20Package,2014年 DreamHack 锦标赛死城之迷纪念包
9,DreamHack%202014%20Dust%20II%20Souvenir%20Package,2014年 DreamHack 锦标赛炙热沙城 II 纪念包
